Freq.	V(vo)
4.57088189614876e-02	(-8.79070057217176e+01dB,1.79786604489734e+02°)
4.78630092322639e-02	(-8.71069819490977e+01dB,1.79776552807555e+02°)
5.01187233627273e-02	(-8.63069558828966e+01dB,1.79766027049126e+02°)
5.24807460249774e-02	(-8.55069273018251e+01dB,1.79755004870895e+02°)
5.49540873857626e-02	(-8.47068959632430e+01dB,1.79743462873815e+02°)
5.75439937337158e-02	(-8.39068616010983e+01dB,1.79731376553340e+02°)
6.02559586074359e-02	(-8.31068239236685e+01dB,1.79718720247020e+02°)
6.30957344480195e-02	(-8.23067826110833e+01dB,1.79705467079572e+02°)
6.60693448007598e-02	(-8.15067373126083e+01dB,1.79691588905312e+02°)
6.91830970918938e-02	(-8.07066876436663e+01dB,1.79677056247803e+02°)
7.24435960074992e-02	(-7.99066331825721e+01dB,1.79661838236587e+02°)
7.58577575029186e-02	(-7.91065734669505e+01dB,1.79645902540848e+02°)
7.94328234724284e-02	(-7.83065079898099e+01dB,1.79629215299853e+02°)
8.31763771102673e-02	(-7.75064361952360e+01dB,1.79611741049998e+02°)
8.70963589956083e-02	(-7.67063574736701e+01dB,1.79593442648292e+02°)
9.12010839355913e-02	(-7.59062711567316e+01dB,1.79574281192082e+02°)
9.54992586021439e-02	(-7.51061765115401e+01dB,1.79554215934828e+02°)
1.00000000000000e-01	(-7.43060727344891e+01dB,1.79533204197711e+02°)
1.04712854805090e-01	(-7.35059589444197e+01dB,1.79511201276854e+02°)
1.09647819614319e-01	(-7.27058341751329e+01dB,1.79488160345915e+02°)
1.14815362149689e-01	(-7.19056973671801e+01dB,1.79464032353784e+02°)
1.20226443461742e-01	(-7.11055473588599e+01dB,1.79438765917136e+02°)
1.25892541179417e-01	(-7.03053828763450e+01dB,1.79412307207517e+02°)
1.31825673855641e-01	(-6.95052025228550e+01dB,1.79384599832673e+02°)
1.38038426460289e-01	(-6.87050047667826e+01dB,1.79355584711763e+02°)
1.44543977074593e-01	(-6.79047879286721e+01dB,1.79325199944110e+02°)
1.51356124843621e-01	(-6.71045501669386e+01dB,1.79293380671086e+02°)
1.58489319246112e-01	(-6.63042894622063e+01dB,1.79260058930713e+02°)
1.65958690743757e-01	(-6.55040036001319e+01dB,1.79225163504519e+02°)
1.73780082874938e-01	(-6.47036901525651e+01dB,1.79188619756144e+02°)
1.81970085860999e-01	(-6.39033464568870e+01dB,1.79150349461174e+02°)
1.90546071796326e-01	(-6.31029695933474e+01dB,1.79110270627590e+02°)
1.99526231496889e-01	(-6.23025563602070e+01dB,1.79068297306208e+02°)
2.08929613085405e-01	(-6.15021032464722e+01dB,1.79024339390388e+02°)
2.18776162394956e-01	(-6.07016064019862e+01dB,1.78978302404261e+02°)
2.29086765276778e-01	(-5.99010616046208e+01dB,1.78930087278603e+02°)
2.39883291901950e-01	(-5.91004642242854e+01dB,1.78879590113437e+02°)
2.51188643150959e-01	(-5.82998091834418e+01dB,1.78826701926323e+02°)
2.63026799189540e-01	(-5.74990909137851e+01dB,1.78771308385197e+02°)
2.75422870333818e-01	(-5.66983033087150e+01dB,1.78713289524492e+02°)
2.88403150312662e-01	(-5.58974396711841e+01dB,1.78652519443131e+02°)
3.01995172040203e-01	(-5.50964926564720e+01dB,1.78588865982823e+02°)
3.16227766016840e-01	(-5.42954542093847e+01dB,1.78522190384921e+02°)
3.31131121482593e-01	(-5.34943154953329e+01dB,1.78452346923865e+02°)
3.46736850452534e-01	(-5.26930668246833e+01dB,1.78379182515027e+02°)
3.63078054770103e-01	(-5.18916975697217e+01dB,1.78302536294497e+02°)
3.80189396320563e-01	(-5.10901960734936e+01dB,1.78222239168004e+02°)
3.98107170553499e-01	(-5.02885495497195e+01dB,1.78138113325880e+02°)
4.16869383470338e-01	(-4.94867439728945e+01dB,1.78049971720489e+02°)
4.36515832240168e-01	(-4.86847639575956e+01dB,1.77957617502136e+02°)
4.57088189614878e-01	(-4.78825926259162e+01dB,1.77860843408899e+02°)
4.78630092322641e-01	(-4.70802114618371e+01dB,1.77759431105215e+02°)
5.01187233627275e-01	(-4.62776001512177e+01dB,1.77653150463338e+02°)
5.24807460249776e-01	(-4.54747364059558e+01dB,1.77541758780956e+02°)
