time	V(vo)
0.000000000000000e+00	2.723018e-05
8.539278363452645e-05	5.671643e-05
1.707855672690529e-04	1.137090e-04
2.561783509035793e-04	1.982078e-04
3.415711345381058e-04	3.102130e-04
4.269639181726323e-04	4.497244e-04
5.123567018071587e-04	6.167422e-04
5.977494854416850e-04	8.112662e-04
8.151836645985885e-04	1.388704e-03
1.093262546502712e-03	2.291934e-03
1.461188046594471e-03	3.704337e-03
1.987030481000894e-03	6.013192e-03
2.754526684535073e-03	9.721017e-03
3.905033004722847e-03	1.554925e-02
5.661649632932262e-03	2.434240e-02
8.388466690432654e-03	3.691611e-02
1.229471669043265e-02	5.237477e-02
1.620096669043265e-02	6.460721e-02
2.010721669043265e-02	7.329420e-02
2.401346669043265e-02	7.849767e-02
2.791971669043265e-02	8.039293e-02
3.182596669043265e-02	7.925165e-02
3.573221669043265e-02	7.542225e-02
3.963846669043265e-02	6.930978e-02
4.354471669043265e-02	6.135606e-02
4.745096669043265e-02	5.202053e-02
5.135721669043265e-02	4.176252e-02
5.526346669043265e-02	3.102532e-02
5.916971669043265e-02	2.022261e-02
6.307596669043265e-02	9.727146e-03
6.698221669043265e-02	-1.378023e-04
7.088846669043265e-02	-9.104500e-03
7.479471669043265e-02	-1.696420e-02
7.870096669043265e-02	-2.356821e-02
8.260721669043265e-02	-2.882677e-02
8.651346669043265e-02	-3.270597e-02
9.041971669043265e-02	-3.522314e-02
9.432596669043265e-02	-3.644085e-02
9.823221669043265e-02	-3.646006e-02
1.021384666904327e-01	-3.541258e-02
1.060447166904327e-01	-3.345329e-02
1.099509666904327e-01	-3.075240e-02
1.138572166904327e-01	-2.748790e-02
1.177634666904327e-01	-2.383865e-02
1.216697166904327e-01	-1.997803e-02
1.294822166904326e-01	-1.225742e-02
1.333884666904326e-01	-8.672866e-03
1.372947166904326e-01	-5.421855e-03
1.412009666904326e-01	-2.588534e-03
1.451072166904326e-01	-2.337038e-04
1.490134666904326e-01	1.604846e-03
1.529197166904326e-01	2.911246e-03
1.568259666904326e-01	3.689809e-03
1.607322166904326e-01	3.962777e-03
1.646384666904326e-01	3.767676e-03
1.685447166904326e-01	3.154433e-03
1.724509666904326e-01	2.182347e-03
1.763572166904326e-01	9.170651e-04
1.802634666904326e-01	-5.723517e-04
1.841697166904326e-01	-2.216173e-03
1.880759666904326e-01	-3.946481e-03
1.958884666904326e-01	-7.416530e-03
1.997947166904326e-01	-9.047087e-03
2.037009666904326e-01	-1.054819e-02
2.076072166904326e-01	-1.188583e-02
2.115134666904326e-01	-1.303510e-02
2.154197166904326e-01	-1.398003e-02
2.193259666904326e-01	-1.471330e-02
2.232322166904326e-01	-1.523550e-02
2.271384666904326e-01	-1.555433e-02
2.310447166904326e-01	-1.568359e-02
2.349509666904326e-01	-1.564205e-02
2.388572166904326e-01	-1.545226e-02
2.427634666904326e-01	-1.513945e-02
2.466697166904326e-01	-1.473026e-02
2.544822166904326e-01	-1.373051e-02
2.662009666904326e-01	-1.214909e-02
