time	V(vo)
0.000000000000000e+00	2.723018e-05
9.999999439624929e-11	2.723018e-05
1.999999887924986e-10	2.723018e-05
2.942856977946766e-08	2.781295e-05
5.865713957014282e-08	3.300125e-05
8.788570936081798e-08	4.279506e-05
1.171142791514931e-07	5.719440e-05
1.463428489421683e-07	7.619925e-05
1.755714187328435e-07	9.980963e-05
2.047999885235186e-07	1.280255e-04
4.045066567880397e-05	3.954770e-02
8.069653136908442e-05	7.770676e-02
1.209423970593649e-04	1.146052e-01
1.611882627496453e-04	1.502430e-01
2.014341284399258e-04	1.846203e-01
2.416799941302062e-04	2.177369e-01
2.819258598204866e-04	2.495928e-01
3.690687169633440e-04	3.142309e-01
4.562115741062014e-04	3.747898e-01
5.433544312490588e-04	4.312695e-01
6.304972883919162e-04	4.836700e-01
7.176401455347735e-04	5.319914e-01
8.047830026776310e-04	5.762335e-01
8.919258598204881e-04	6.163965e-01
9.430793084177041e-04	6.388217e-01
9.942327570149202e-04	6.603174e-01
1.045386205612136e-03	6.808834e-01
1.096539654209352e-03	7.005198e-01
1.147693102806568e-03	7.192265e-01
1.198846551403784e-03	7.370037e-01
1.250000000001000e-03	7.538512e-01
1.260000000001000e-03	7.546294e-01
1.270000000001000e-03	7.479848e-01
1.280000000001000e-03	7.338794e-01
1.340000000001000e-03	6.374076e-01
1.400000000001000e-03	5.452729e-01
1.460000000001001e-03	4.574752e-01
1.520000000001001e-03	3.740147e-01
1.580000000001001e-03	2.948914e-01
1.640000000001001e-03	2.201051e-01
1.700000000001001e-03	1.496559e-01
1.721428571429573e-03	1.252099e-01
1.742857142858144e-03	1.011973e-01
1.764285714286716e-03	7.761816e-02
1.785714285715287e-03	5.447238e-02
1.807142857143859e-03	3.176000e-02
1.828571428572430e-03	9.481027e-03
1.850000000001002e-03	-1.236455e-02
1.860000000001002e-03	-2.242866e-02
1.870000000001002e-03	-3.240497e-02
1.890000000001002e-03	-5.209716e-02
1.920000000001002e-03	-8.099528e-02
1.977142857143859e-03	-1.336924e-01
2.034285714286716e-03	-1.840829e-01
2.091428571429574e-03	-2.321666e-01
2.148571428572431e-03	-2.779436e-01
2.205714285715288e-03	-3.214139e-01
2.262857142858146e-03	-3.625775e-01
2.320000000001003e-03	-4.014344e-01
2.345714285715288e-03	-4.183833e-01
2.371428571429574e-03	-4.349675e-01
2.397142857143860e-03	-4.511870e-01
2.422857142858146e-03	-4.670419e-01
2.448571428572432e-03	-4.825321e-01
2.474285714286718e-03	-4.976576e-01
2.500000000001003e-03	-5.124184e-01
2.510000000000000e-03	-5.156359e-01
2.520000000000000e-03	-5.114086e-01
2.530000000000000e-03	-4.997004e-01
2.580000000000000e-03	-4.304660e-01
2.630000000000000e-03	-3.638976e-01
2.680000000000001e-03	-2.999951e-01
